fifa_version,age,mentality_interceptions,defending,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,skill_dribbling,attacker_position,skill_ball_control,midfielder_position,attacking_finishing,attacking_volleys,attacking_short_passing,mentality_positioning,shooting,big_potential
20.0,28,70,68.0,73,63,56,66,0,72,1,39,39,74,58,47.0,0
21.0,29,68,66.0,70,62,56,66,0,70,1,39,39,72,58,47.0,0
18.0,26,37,35.0,30,25,60,58,1,63,0,60,63,63,52,64.0,0
20.0,28,37,32.0,30,25,59,58,1,63,0,62,63,63,52,65.0,0
21.0,29,37,32.0,30,25,59,58,1,63,0,62,63,59,52,65.0,0
17.0,23,26,30.0,34,32,44,87,1,86,1,71,61,75,68,74.0,1
18.0,24,69,53.0,60,58,44,87,1,86,1,71,68,78,70,75.0,0
19.0,25,69,56.0,60,58,44,90,1,88,1,71,68,80,70,75.0,0
20.0,26,69,55.0,59,46,44,90,0,88,1,74,73,81,76,77.0,0
21.0,27,69,55.0,59,46,44,87,0,84,1,70,73,79,75,75.0,1
17.0,23,68,74.0,78,80,62,66,0,73,0,43,30,67,52,39.0,0
17.0,24,69,71.0,74,66,69,48,0,59,0,22,22,65,50,34.0,0
18.0,25,69,71.0,74,66,69,48,0,59,0,22,22,65,50,34.0,0
17.0,24,56,60.0,62,60,56,46,0,56,1,23,27,60,45,30.0,0
18.0,25,56,60.0,62,60,56,48,0,57,1,23,27,56,45,30.0,0
19.0,26,54,59.0,61,62,56,48,0,54,1,23,27,51,45,30.0,0
20.0,27,65,62.0,63,63,56,48,0,52,1,23,27,40,45,30.0,0
21.0,28,64,65.0,66,66,64,48,0,52,1,23,27,53,45,30.0,0
17.0,23,17,16.0,12,11,38,65,1,60,1,52,44,56,52,54.0,1
18.0,24,17,16.0,12,11,44,72,1,66,1,67,54,62,64,66.0,1
19.0,25,17,31.0,32,17,44,73,1,66,1,68,54,63,66,66.0,0
20.0,26,17,33.0,38,17,44,78,0,73,1,73,60,66,76,70.0,0
21.0,27,17,34.0,38,17,50,78,0,73,1,73,60,66,76,70.0,0
17.0,24,61,54.0,54,50,39,59,0,65,1,63,43,69,74,63.0,1
18.0,25,70,60.0,64,55,41,73,0,76,1,63,68,78,77,65.0,1
19.0,26,72,70.0,72,68,41,73,0,76,1,64,68,78,76,67.0,1
20.0,27,73,70.0,72,69,41,75,0,79,1,65,68,79,77,69.0,0
21.0,28,77,72.0,76,71,41,77,0,79,1,65,68,79,77,69.0,0
17.0,26,19,21.0,16,16,55,61,0,64,1,62,54,59,57,57.0,0
18.0,27,19,21.0,16,16,55,63,0,64,1,62,54,59,59,58.0,0
19.0,28,23,27.0,25,24,55,66,0,65,1,62,54,64,60,60.0,0
20.0,29,23,27.0,25,24,55,65,0,64,1,60,54,61,60,60.0,0
21.0,30,37,41.0,41,35,56,64,1,63,1,60,54,60,60,60.0,0
17.0,25,28,30.0,22,30,63,76,0,75,1,69,63,74,72,69.0,0
18.0,26,28,30.0,22,30,63,73,0,74,1,69,63,72,72,69.0,0
19.0,27,28,32.0,22,30,63,75,0,76,1,72,63,74,73,71.0,0
20.0,28,28,32.0,22,30,60,74,0,75,1,70,63,72,70,69.0,0
17.0,26,58,59.0,63,61,54,68,0,71,0,37,53,64,57,49.0,0
17.0,25,35,25.0,23,18,34,75,1,71,1,53,59,59,60,60.0,0
18.0,26,35,25.0,23,18,34,71,1,69,0,56,59,59,60,61.0,0
17.0,23,38,36.0,38,33,50,64,1,64,0,63,54,57,64,61.0,0
18.0,24,38,37.0,38,33,60,64,1,64,0,66,54,57,70,62.0,0
19.0,25,38,43.0,38,33,60,64,1,64,0,69,54,57,75,65.0,0
20.0,26,38,44.0,38,33,64,64,1,64,0,69,56,57,75,65.0,0
17.0,23,69,67.0,71,72,66,64,0,67,1,62,65,69,59,66.0,0
18.0,24,71,70.0,74,71,66,64,0,67,1,62,65,69,59,66.0,0
19.0,25,73,72.0,73,73,65,61,0,68,0,53,55,74,53,58.0,1
20.0,26,78,78.0,79,73,72,63,0,75,0,52,57,79,52,59.0,0
21.0,27,78,79.0,78,74,74,62,0,79,0,51,56,81,50,58.0,0
17.0,24,59,56.0,59,59,56,70,0,70,1,64,57,71,67,64.0,0
18.0,25,59,57.0,61,59,56,71,0,72,1,65,57,73,69,65.0,0
19.0,26,64,62.0,63,57,61,68,0,68,1,64,57,71,68,64.0,0
17.0,23,25,26.0,22,17,66,71,1,73,0,78,70,67,78,73.0,0
18.0,24,25,26.0,22,17,66,71,1,73,0,77,70,67,78,73.0,0
19.0,25,25,29.0,22,17,67,71,1,72,0,76,70,67,74,72.0,0
20.0,26,25,29.0,22,17,64,64,1,70,0,74,70,66,72,70.0,0
17.0,23,25,25.0,28,21,29,72,0,71,1,57,51,67,63,55.0,0
18.0,24,25,25.0,28,21,29,73,0,71,1,54,51,54,63,54.0,1
19.0,25,25,25.0,28,21,29,71,0,70,1,54,51,54,60,54.0,0
17.0,27,82,78.0,80,77,73,49,0,53,0,29,24,64,26,38.0,0
17.0,23,71,69.0,68,65,74,34,0,52,0,23,21,52,31,29.0,1
18.0,24,71,67.0,66,65,74,34,0,52,0,23,21,52,31,29.0,1
19.0,25,67,71.0,71,70,72,34,0,51,0,23,49,51,31,35.0,0
17.0,27,75,72.0,76,72,65,69,0,75,1,48,66,77,68,63.0,0
18.0,28,75,73.0,76,72,71,71,1,76,1,60,69,79,75,69.0,0
19.0,29,75,71.0,75,72,71,71,1,75,1,60,69,77,74,69.0,0
20.0,30,75,71.0,75,72,71,71,0,75,1,60,69,77,74,69.0,0
21.0,31,75,71.0,75,72,71,71,0,75,1,60,69,77,74,69.0,0
17.0,31,58,54.0,61,52,67,70,0,71,1,65,71,69,72,70.0,0
18.0,32,68,67.0,66,67,69,68,0,69,1,65,67,71,68,68.0,0
17.0,28,70,52.0,47,51,60,71,0,70,1,62,52,70,66,66.0,0
18.0,29,70,52.0,47,51,60,71,0,70,1,62,52,70,66,66.0,0
17.0,23,64,63.0,62,58,60,57,0,66,0,55,56,67,56,58.0,0
18.0,24,65,67.0,69,62,67,55,0,63,0,50,56,67,54,55.0,0
19.0,25,65,66.0,67,62,64,55,0,62,0,50,56,67,54,55.0,0
20.0,26,63,64.0,64,62,64,55,0,59,0,49,56,65,53,55.0,0
21.0,27,63,63.0,64,62,64,54,0,58,0,49,56,65,53,55.0,0
17.0,24,61,65.0,66,67,60,58,0,61,0,40,44,62,52,46.0,1
18.0,25,61,65.0,66,67,60,58,0,61,0,40,44,62,52,46.0,1
19.0,26,61,64.0,66,67,60,60,0,65,0,40,44,66,52,46.0,1
20.0,27,67,69.0,71,70,61,67,0,68,0,40,44,68,55,46.0,0
21.0,28,67,69.0,71,70,61,67,0,68,0,40,44,68,55,46.0,0
17.0,26,31,31.0,22,21,65,62,1,69,0,67,63,57,72,67.0,0
18.0,27,31,32.0,22,21,68,60,1,65,0,66,63,55,71,67.0,0
19.0,28,31,35.0,22,21,70,60,1,65,0,68,63,60,71,68.0,0
20.0,29,31,35.0,22,21,70,60,1,65,0,68,63,61,71,67.0,0
21.0,30,31,35.0,22,21,70,60,1,65,0,68,63,61,71,67.0,0
17.0,25,43,45.0,49,46,58,80,0,75,1,60,67,80,69,64.0,1
18.0,26,43,45.0,49,46,58,79,0,78,1,67,67,82,61,68.0,1
19.0,27,50,54.0,55,50,58,79,0,78,1,67,70,82,61,69.0,1
20.0,28,69,63.0,61,56,58,79,0,82,1,59,70,84,59,64.0,0
21.0,29,65,63.0,62,58,58,80,0,82,1,59,70,84,59,65.0,0
17.0,22,76,76.0,78,73,68,71,0,78,1,51,66,79,72,67.0,0
18.0,23,74,73.0,75,72,65,64,0,75,1,51,64,77,69,66.0,0
19.0,24,77,73.0,76,71,65,59,0,69,1,51,64,77,69,64.0,0
20.0,25,77,72.0,73,71,65,59,0,69,1,51,64,77,69,65.0,0
21.0,26,75,71.0,71,70,65,58,0,69,1,51,64,75,69,65.0,0
17.0,23,34,33.0,33,29,45,75,0,68,1,64,59,70,72,65.0,1
18.0,24,34,33.0,33,29,45,75,0,70,1,65,59,70,72,66.0,0
19.0,25,34,37.0,33,29,45,78,1,76,1,69,60,73,72,68.0,0
20.0,26,34,37.0,33,29,45,80,1,76,1,73,60,74,74,71.0,0
21.0,27,34,37.0,33,29,45,80,0,77,1,69,60,74,73,68.0,0
17.0,23,58,45.0,46,40,36,73,1,70,1,74,57,68,67,72.0,0
17.0,24,31,25.0,23,19,49,80,0,76,1,70,60,71,66,69.0,0
19.0,26,31,25.0,23,19,49,78,0,76,1,59,60,74,65,63.0,0
17.0,29,39,36.0,31,52,46,74,1,75,1,68,49,72,67,59.0,1
19.0,31,68,64.0,65,56,56,63,0,68,1,52,49,67,64,52.0,1
20.0,32,68,65.0,65,56,63,63,0,68,1,52,49,67,64,53.0,0
21.0,33,68,66.0,65,64,67,73,0,68,0,56,55,67,67,57.0,0
18.0,26,59,64.0,67,67,59,59,0,64,1,38,49,64,49,52.0,1
19.0,27,64,72.0,75,69,72,59,0,66,1,38,49,70,49,55.0,0
20.0,28,67,73.0,76,71,73,59,0,67,1,38,49,73,57,56.0,0
21.0,29,65,70.0,73,70,72,59,0,65,1,38,49,70,57,56.0,0
17.0,26,70,65.0,67,68,55,68,0,73,1,53,49,74,62,58.0,0
18.0,27,70,65.0,67,68,55,68,0,73,1,53,49,74,62,58.0,0
19.0,28,70,67.0,67,68,55,68,0,73,1,53,49,74,62,58.0,0
20.0,29,70,67.0,67,68,55,68,0,73,1,53,49,74,62,58.0,0
21.0,30,70,66.0,67,68,55,68,0,72,1,53,49,73,61,58.0,0
17.0,22,67,70.0,73,70,63,68,0,67,0,61,31,66,60,60.0,0
18.0,23,67,70.0,73,70,63,70,0,68,0,61,31,66,60,60.0,0
19.0,24,67,70.0,73,70,63,70,0,68,0,61,31,66,60,60.0,0
17.0,26,63,72.0,76,77,60,70,0,74,0,36,49,69,56,46.0,0
18.0,27,64,72.0,76,77,60,70,0,74,1,36,49,69,56,46.0,0
18.0,23,58,58.0,60,56,55,62,0,58,0,48,41,57,50,49.0,0
19.0,24,58,57.0,57,56,54,59,0,58,0,49,41,56,46,49.0,0
20.0,25,58,57.0,57,56,54,59,0,58,0,49,41,56,51,49.0,0
17.0,22,53,57.0,62,60,69,66,0,68,1,67,59,69,69,67.0,0
18.0,23,53,56.0,61,59,69,66,0,69,1,64,59,69,69,66.0,0
19.0,24,53,52.0,54,51,68,66,1,68,1,64,59,66,65,65.0,0
20.0,25,53,52.0,54,51,68,68,1,68,1,65,59,66,66,65.0,0
21.0,26,53,52.0,54,51,68,68,1,68,1,65,59,66,66,65.0,0
17.0,22,35,42.0,36,38,82,77,1,82,0,88,70,75,85,84.0,1
18.0,23,35,42.0,36,38,83,78,1,82,0,90,73,75,89,87.0,1
19.0,24,35,47.0,36,38,85,80,1,84,0,94,82,80,93,90.0,0
20.0,25,35,47.0,36,38,86,80,1,84,0,94,85,81,93,91.0,0
21.0,26,35,47.0,36,38,85,80,1,84,0,94,85,81,93,91.0,0
17.0,22,57,53.0,61,55,44,63,0,69,1,49,46,74,58,55.0,0
18.0,23,57,55.0,62,57,44,63,0,69,1,49,46,72,58,55.0,0
19.0,24,57,59.0,62,58,53,62,1,68,1,49,46,67,58,55.0,0
20.0,25,58,60.0,63,58,53,62,0,68,1,49,46,66,58,55.0,0
21.0,26,58,61.0,65,60,53,62,0,68,1,49,46,66,58,55.0,0
17.0,23,76,74.0,78,78,56,76,0,77,1,57,74,77,72,68.0,0
18.0,24,74,74.0,78,78,64,76,0,77,1,55,74,77,74,67.0,0
19.0,25,76,76.0,78,78,68,76,0,77,1,55,74,77,74,67.0,0
20.0,26,75,76.0,78,77,68,76,0,77,1,55,74,77,73,67.0,0
21.0,27,74,75.0,77,76,68,73,0,74,1,55,74,74,73,67.0,0
17.0,24,70,65.0,63,54,51,72,0,74,1,68,63,76,58,67.0,0
18.0,25,70,65.0,63,54,51,72,0,74,1,66,63,72,58,66.0,0
19.0,26,70,65.0,63,54,51,72,0,74,1,66,63,72,58,66.0,0
20.0,27,70,65.0,63,54,51,72,0,74,1,66,63,72,58,66.0,0
17.0,22,61,67.0,72,73,47,71,0,74,0,44,66,73,41,56.0,1
18.0,23,63,72.0,79,80,51,72,0,75,0,48,68,73,41,64.0,0
19.0,24,64,72.0,78,80,51,72,1,75,0,48,68,73,41,64.0,0
20.0,25,65,72.0,78,80,52,72,1,75,0,48,68,74,41,64.0,0
17.0,29,40,36.0,39,29,59,72,1,77,1,75,58,63,75,73.0,0
17.0,25,68,67.0,71,71,54,72,0,70,0,56,55,62,61,57.0,0
18.0,26,66,68.0,73,74,54,74,0,72,0,61,55,73,61,60.0,0
19.0,27,66,69.0,73,74,54,74,0,72,1,65,57,74,63,64.0,0
20.0,28,67,68.0,70,71,54,73,0,71,0,63,57,72,63,63.0,0
21.0,29,67,68.0,70,71,54,73,0,68,0,63,57,72,63,63.0,0
17.0,27,71,69.0,70,69,64,52,0,58,0,29,39,57,36,44.0,0
18.0,28,68,67.0,67,66,64,51,0,56,0,29,39,57,36,44.0,0
19.0,29,68,67.0,65,66,64,49,0,56,0,29,39,63,36,44.0,0
20.0,30,68,67.0,64,65,65,47,0,54,0,29,39,61,36,44.0,0
17.0,24,66,71.0,74,69,69,55,0,65,1,57,50,69,47,58.0,0
18.0,25,66,70.0,72,69,69,55,0,65,1,57,50,70,47,58.0,0
19.0,26,67,69.0,70,67,69,54,0,63,1,57,50,69,47,58.0,0
20.0,27,64,66.0,68,67,67,54,0,61,1,52,50,69,47,56.0,0
17.0,22,36,34.0,35,26,65,88,0,85,1,77,84,84,80,79.0,1
18.0,23,36,34.0,35,26,65,88,1,87,1,78,84,84,79,80.0,0
19.0,24,66,55.0,64,44,65,88,1,89,1,78,84,84,79,80.0,0
20.0,25,66,55.0,64,44,65,87,1,88,1,76,80,84,79,79.0,0
21.0,26,66,55.0,64,44,64,83,1,84,1,74,79,81,78,76.0,0
17.0,24,58,50.0,45,42,52,71,0,66,1,59,53,55,61,58.0,0
18.0,28,58,62.0,64,62,65,56,0,60,0,35,54,63,59,42.0,0
19.0,29,58,63.0,64,62,65,56,0,60,0,35,54,63,59,42.0,0
20.0,30,60,63.0,64,62,65,56,0,60,0,35,54,61,59,42.0,0
21.0,31,65,66.0,69,66,65,56,0,60,0,35,54,64,59,42.0,0
17.0,28,71,66.0,64,65,66,60,0,61,0,50,49,65,56,53.0,0
18.0,29,67,66.0,67,63,66,62,0,56,0,39,49,73,34,45.0,0
19.0,30,66,67.0,66,65,66,55,0,56,0,39,49,73,34,45.0,0
20.0,31,67,67.0,68,63,66,57,0,56,0,39,49,67,44,46.0,0
21.0,32,66,65.0,65,60,67,55,0,57,0,39,49,67,44,46.0,0
17.0,29,58,60.0,61,54,76,63,1,64,1,67,65,64,67,66.0,0
18.0,30,58,60.0,61,54,76,63,1,64,1,67,65,64,71,66.0,0
17.0,22,30,23.0,20,24,27,74,0,69,1,56,40,60,54,50.0,0
18.0,23,30,23.0,20,24,27,74,0,69,1,56,40,60,54,50.0,0
17.0,22,17,21.0,12,21,61,62,1,61,0,63,57,50,61,61.0,0
18.0,23,17,21.0,12,21,61,62,1,59,0,63,57,50,61,61.0,0
19.0,24,17,21.0,12,21,61,62,1,59,0,63,57,50,61,61.0,0
21.0,26,17,20.0,12,21,59,57,1,58,0,60,57,50,59,59.0,0
17.0,26,43,44.0,43,42,61,66,1,65,0,65,62,66,65,65.0,0
18.0,27,43,46.0,47,45,61,66,1,65,0,62,61,63,65,63.0,0
19.0,28,43,50.0,47,45,61,66,1,65,0,62,61,63,65,63.0,0
20.0,29,43,45.0,47,43,58,67,1,66,0,63,59,63,64,63.0,0
17.0,24,29,31.0,29,37,46,76,1,72,0,68,64,66,74,69.0,0
18.0,25,29,31.0,29,37,46,74,1,70,0,68,64,66,69,69.0,0
17.0,24,82,77.0,77,77,73,60,0,64,0,48,49,65,65,55.0,1
18.0,25,82,78.0,81,74,72,60,0,64,0,48,49,67,61,59.0,0
19.0,26,84,80.0,82,76,73,60,0,66,0,46,49,68,61,58.0,0
20.0,27,82,80.0,82,76,72,60,0,66,0,46,49,68,61,58.0,0
21.0,28,81,79.0,79,76,71,60,0,66,0,46,49,68,61,58.0,0
17.0,22,54,60.0,63,62,57,60,0,69,1,47,59,61,60,51.0,0
18.0,23,64,62.0,63,62,57,60,0,69,1,47,59,61,60,53.0,0
19.0,24,64,61.0,63,62,57,60,0,69,0,47,59,61,60,53.0,0
20.0,25,63,62.0,64,61,57,61,0,64,0,47,59,62,60,53.0,0
17.0,23,45,47.0,55,45,41,66,1,65,1,60,57,66,65,59.0,1
18.0,24,45,47.0,55,45,41,63,0,63,1,60,57,63,70,63.0,1
19.0,25,45,47.0,55,45,41,69,0,72,1,65,57,63,70,70.0,0
20.0,26,45,47.0,55,45,41,69,0,67,1,65,57,62,67,67.0,0
21.0,27,45,47.0,55,45,41,71,0,72,1,67,57,66,67,68.0,0
17.0,27,32,38.0,46,36,72,69,1,67,0,71,66,65,70,65.0,0
18.0,28,32,39.0,46,36,76,66,1,66,0,71,63,63,75,66.0,0
19.0,29,32,40.0,46,36,73,63,1,66,0,67,63,60,68,64.0,0
20.0,30,34,40.0,46,36,70,66,1,65,1,69,63,60,68,65.0,0
21.0,31,34,40.0,46,36,72,67,1,67,1,72,63,61,71,67.0,0
17.0,27,53,54.0,60,59,57,79,0,68,1,65,61,60,65,68.0,0
18.0,28,61,62.0,66,59,57,82,1,70,1,73,61,71,72,72.0,0
19.0,29,61,47.0,66,59,59,78,0,69,1,68,66,71,70,70.0,0
21.0,31,61,58.0,57,57,59,72,0,68,1,66,64,68,68,68.0,0
17.0,27,58,60.0,60,61,57,65,0,65,1,54,56,62,66,59.0,0
18.0,28,66,64.0,68,59,57,61,1,65,1,54,56,67,66,60.0,0
19.0,29,71,66.0,68,59,57,64,0,65,1,54,56,65,66,60.0,0
20.0,30,68,65.0,67,59,57,65,0,67,1,54,56,64,66,60.0,0
21.0,31,68,65.0,67,59,57,65,0,67,1,54,56,64,66,60.0,0
17.0,23,68,68.0,70,67,66,72,0,74,1,66,58,71,57,66.0,0
18.0,24,68,68.0,70,67,66,72,0,74,1,66,58,71,72,67.0,0
17.0,27,65,61.0,65,57,53,60,0,68,1,55,57,66,56,58.0,0
17.0,23,66,65.0,67,63,61,49,0,51,0,19,24,52,30,27.0,0
18.0,24,69,65.0,65,63,61,49,0,51,0,19,24,52,30,27.0,0
19.0,25,70,67.0,67,63,61,49,0,51,0,19,24,57,30,27.0,0
20.0,26,70,67.0,67,63,60,49,0,51,0,19,24,56,30,27.0,0
21.0,27,69,67.0,67,63,60,49,0,51,0,19,24,56,30,27.0,0
17.0,27,68,64.0,62,59,59,61,0,64,1,51,55,69,43,57.0,0
17.0,24,28,28.0,22,23,49,70,1,72,1,60,61,64,66,61.0,1
18.0,25,28,28.0,22,23,41,73,1,75,0,68,67,67,67,69.0,0
19.0,26,28,28.0,22,23,41,73,1,75,1,68,67,67,67,69.0,0
20.0,27,28,28.0,22,23,41,73,1,75,1,68,67,67,67,69.0,0
17.0,25,18,24.0,23,23,64,72,1,74,1,79,75,69,77,74.0,0
18.0,26,20,25.0,23,23,63,71,1,73,1,78,74,70,75,73.0,0
19.0,27,20,31.0,23,23,63,71,1,73,1,75,74,70,75,72.0,0
20.0,28,20,31.0,23,23,63,71,1,72,1,71,74,70,73,69.0,0
21.0,29,20,35.0,33,23,63,68,1,70,1,69,72,67,73,68.0,1
17.0,24,56,51.0,50,52,66,72,0,73,1,63,61,71,67,64.0,1
18.0,25,65,62.0,62,59,66,74,0,76,1,71,62,75,73,71.0,0
19.0,26,67,64.0,64,61,66,75,0,73,1,70,62,75,72,71.0,0
20.0,27,67,64.0,64,61,66,75,0,73,1,73,62,75,72,73.0,0
21.0,28,69,65.0,66,62,66,76,0,74,1,76,62,76,73,76.0,0
17.0,25,57,59.0,60,62,56,67,0,63,0,44,56,63,54,50.0,0
18.0,26,57,58.0,59,61,56,65,0,62,0,44,56,63,54,50.0,0
19.0,27,57,59.0,59,61,56,65,0,62,1,44,56,63,54,50.0,0
17.0,27,36,30.0,23,22,65,63,1,66,1,72,64,61,72,69.0,0
18.0,28,36,30.0,23,22,66,59,1,64,1,65,59,65,65,65.0,0
17.0,27,52,40.0,34,32,62,62,1,58,1,55,56,64,61,58.0,0
18.0,28,52,40.0,34,32,62,67,0,65,1,60,56,65,66,60.0,0
19.0,29,52,36.0,34,32,62,64,1,62,1,60,56,62,64,60.0,0
17.0,28,58,56.0,54,56,57,67,0,70,1,65,59,69,67,64.0,0
18.0,29,59,52.0,45,44,57,64,0,66,1,61,59,68,68,62.0,1
19.0,30,63,53.0,49,44,57,69,0,72,1,69,62,72,72,68.0,0
20.0,31,62,53.0,49,44,57,70,0,73,1,68,62,73,71,68.0,0
17.0,24,56,62.0,63,65,68,22,0,45,0,32,23,45,24,36.0,0
18.0,25,56,62.0,63,65,68,22,0,45,0,32,23,45,24,36.0,0
17.0,26,59,72.0,78,78,71,70,0,71,0,52,53,71,57,59.0,0
18.0,27,64,74.0,79,79,73,71,1,72,0,53,53,75,68,60.0,1
19.0,28,68,75.0,79,79,74,72,1,73,1,55,57,75,71,61.0,0
20.0,29,68,75.0,79,79,74,72,1,73,1,55,57,75,71,61.0,0
21.0,30,68,74.0,77,76,81,74,1,75,1,70,66,76,74,71.0,0
17.0,23,68,67.0,71,66,64,34,0,66,1,35,34,65,40,48.0,0
18.0,24,66,67.0,70,65,64,54,0,66,0,35,34,75,49,49.0,0
19.0,25,65,64.0,65,63,62,54,0,57,0,44,34,72,49,52.0,0
20.0,26,65,64.0,65,63,62,54,0,57,0,44,34,70,49,52.0,0
17.0,24,72,67.0,70,65,53,71,0,70,1,45,48,71,64,52.0,0
18.0,25,79,70.0,76,72,55,71,0,74,1,21,48,82,67,38.0,0
19.0,26,79,74.0,77,73,57,73,0,77,1,26,48,82,67,39.0,0
20.0,27,78,74.0,75,72,57,71,0,75,1,26,48,80,62,39.0,0
21.0,28,78,74.0,75,72,57,71,0,75,1,26,48,80,62,39.0,0
17.0,25,43,46.0,44,46,66,71,1,66,0,80,70,69,78,74.0,0
18.0,26,33,34.0,34,36,66,68,1,63,0,73,70,69,72,71.0,1
19.0,27,33,38.0,34,36,66,71,1,66,0,74,72,69,81,72.0,0
17.0,23,66,65.0,67,66,59,61,0,67,1,48,44,67,61,53.0,1
18.0,24,66,67.0,71,74,59,61,0,67,1,48,44,67,61,53.0,1
19.0,25,68,70.0,72,73,61,67,0,71,1,51,45,78,64,56.0,1
20.0,26,65,69.0,71,71,73,77,0,81,1,55,53,80,59,59.0,0
21.0,27,65,69.0,71,69,81,75,0,81,1,55,53,75,59,59.0,0
17.0,22,79,79.0,80,81,83,60,0,68,1,44,52,76,53,60.0,0
18.0,23,80,81.0,82,83,83,66,0,70,1,52,52,76,53,63.0,0
19.0,24,81,82.0,81,83,82,65,0,70,1,52,51,77,53,63.0,0
20.0,25,79,80.0,81,82,81,65,0,70,1,52,51,76,53,63.0,0
21.0,26,77,80.0,80,81,83,65,0,70,1,52,51,75,53,63.0,0
17.0,23,23,26.0,25,21,49,63,1,62,0,59,53,62,55,57.0,0
17.0,26,51,35.0,27,30,63,68,1,71,1,65,59,65,64,64.0,1
18.0,27,51,35.0,27,30,63,71,1,70,0,70,59,65,64,69.0,1
19.0,28,51,36.0,27,30,68,76,1,78,0,78,76,66,75,76.0,0
18.0,29,70,65.0,67,68,58,60,0,62,0,42,36,62,44,51.0,0
19.0,30,70,69.0,69,70,58,60,0,62,0,42,36,62,44,51.0,0
20.0,31,75,70.0,69,70,58,60,0,62,1,42,36,62,44,51.0,0
21.0,32,75,70.0,69,70,58,60,0,62,0,42,36,62,44,51.0,0
17.0,24,70,73.0,78,76,71,76,0,74,0,71,66,74,74,72.0,1
18.0,25,74,79.0,82,79,72,81,0,80,1,72,79,79,78,74.0,0
19.0,26,76,78.0,82,80,75,75,0,82,1,76,79,82,80,76.0,0
20.0,27,76,78.0,83,79,75,75,0,82,1,72,79,82,80,75.0,0
21.0,28,76,77.0,79,77,75,75,0,79,1,70,77,80,78,73.0,0
17.0,24,57,55.0,60,55,48,62,0,66,1,54,58,66,65,63.0,0
18.0,25,63,57.0,60,55,48,65,0,70,1,54,58,65,65,62.0,0
17.0,24,37,22.0,11,13,67,67,1,66,0,69,59,64,65,67.0,1
18.0,25,37,22.0,11,13,67,68,1,68,0,69,64,68,68,68.0,0
17.0,31,56,66.0,70,66,59,67,0,68,1,53,70,73,54,60.0,0
17.0,28,39,34.0,30,21,74,74,1,72,0,78,68,66,75,75.0,0
18.0,29,39,34.0,30,21,70,70,1,69,0,71,67,66,69,70.0,0
19.0,30,39,32.0,30,21,83,68,1,69,0,75,67,66,76,72.0,0
17.0,26,66,71.0,74,71,78,31,0,52,0,45,19,50,32,41.0,1
18.0,27,70,73.0,74,74,80,31,0,55,0,47,19,52,32,43.0,0
19.0,28,72,73.0,70,74,83,33,0,57,0,55,38,57,52,49.0,0
20.0,29,69,71.0,70,69,80,33,0,56,0,55,38,57,52,49.0,0
21.0,30,68,71.0,68,69,80,33,0,52,0,51,38,51,54,47.0,0
17.0,25,70,68.0,75,71,70,63,0,77,1,62,36,79,49,60.0,0
18.0,26,70,68.0,75,71,70,66,0,77,1,65,36,78,59,62.0,0
19.0,27,71,68.0,73,71,70,64,0,69,1,63,36,71,59,62.0,0
18.0,24,64,60.0,63,61,48,55,0,60,1,37,45,64,41,42.0,0
19.0,25,67,60.0,66,64,48,58,0,61,1,37,45,71,41,43.0,0
20.0,26,67,66.0,66,64,62,60,0,66,1,47,45,70,50,50.0,0
17.0,23,40,27.0,20,13,70,75,1,70,0,79,68,66,66,73.0,0
18.0,24,40,28.0,20,18,70,75,1,73,0,77,75,66,71,74.0,0
19.0,25,36,27.0,20,18,68,70,1,71,0,73,74,64,67,72.0,0
20.0,26,36,27.0,20,18,68,71,1,72,0,72,74,64,65,71.0,0
21.0,27,36,27.0,20,18,65,67,1,67,0,70,71,62,61,69.0,0
17.0,22,60,68.0,71,73,66,73,0,74,0,39,48,69,63,45.0,1
18.0,23,60,67.0,70,73,66,72,0,72,0,39,48,68,63,45.0,1
19.0,24,67,72.0,75,73,70,73,0,73,0,39,48,71,67,49.0,0
20.0,25,75,76.0,77,77,71,73,1,74,1,39,52,71,68,50.0,0
21.0,26,74,75.0,76,78,71,73,1,73,1,51,54,69,71,56.0,0
17.0,22,74,74.0,74,70,68,50,0,50,0,15,12,46,26,27.0,0
18.0,23,74,75.0,75,72,70,50,0,52,0,15,12,54,22,26.0,0
19.0,24,75,74.0,78,74,73,50,0,55,0,18,15,62,22,29.0,0
20.0,25,75,75.0,76,74,73,50,0,55,0,22,15,62,22,32.0,0
19.0,28,72,72.0,72,70,67,32,0,49,0,25,40,52,33,37.0,1
20.0,29,72,72.0,73,72,73,47,0,55,0,25,40,65,49,38.0,1
21.0,30,71,71.0,71,71,73,47,0,55,0,25,40,65,49,38.0,1
17.0,27,26,34.0,37,33,73,56,1,63,0,66,59,58,68,66.0,0
18.0,28,26,27.0,21,17,72,56,1,63,0,66,60,44,68,66.0,0
19.0,29,26,25.0,21,17,73,56,1,65,0,71,65,44,73,69.0,0
20.0,30,26,24.0,21,17,70,56,1,64,0,66,64,44,69,66.0,1
21.0,31,26,24.0,21,17,65,58,1,63,0,64,57,44,67,64.0,1
17.0,24,34,34.0,31,32,40,73,1,71,1,56,63,72,63,62.0,1
17.0,23,33,47.0,54,51,59,70,1,75,1,70,57,67,71,66.0,0
18.0,24,33,47.0,54,51,59,68,0,71,1,66,57,64,68,64.0,0
