fifa_version,age,physic,mentality_aggression,mentality_interceptions,power_stamina,power_strength,defending_marking_awareness,power_jumping,defending_standing_tackle,defending_sliding_tackle,attacking_heading_accuracy,mentality_composure,movement_reactions,skill_long_passing,skill_dribbling,skill_fk_accuracy,skill_ball_control,attacking_crossing,power_shot_power,attacking_finishing,skill_curve,movement_balance,attacking_volleys,power_long_shots,mentality_vision,mentality_penalties,movement_agility,big_potential
19.0,26,71.0,62,22,61,83,18,34,24,23,81,67.0,69,49,63,39,66,63,73,73,46,34,68,63,61,68,45,0
17.0,24,71.0,65,53,60,80,58,63,56,68,59,50.0,55,55,49,39,59,45,56,34,48,58,36,37,49,50,55,0
18.0,25,71.0,65,53,60,80,59,65,58,68,59,50.0,55,55,51,39,59,45,56,34,48,58,36,37,49,50,55,0
19.0,26,75.0,65,58,70,83,62,65,64,63,62,50.0,55,60,55,39,61,45,56,35,48,57,36,41,59,50,54,0
20.0,27,77.0,71,63,73,83,63,65,64,63,62,61.0,60,63,62,39,64,45,63,43,48,67,36,54,63,50,62,0
21.0,28,75.0,67,61,73,80,62,65,62,60,61,61.0,59,60,55,39,56,45,61,43,47,62,36,51,59,50,58,0
17.0,25,71.0,64,19,85,67,23,64,17,15,63,66.0,67,45,62,31,70,43,68,71,51,60,67,63,55,69,65,1
18.0,26,70.0,64,19,83,66,23,67,17,15,61,67.0,68,45,63,31,68,43,68,70,51,60,67,62,55,69,67,1
19.0,27,72.0,64,29,83,71,51,68,38,35,67,67.0,68,54,69,31,65,52,68,67,51,60,67,65,56,59,67,0
20.0,28,72.0,69,29,83,68,51,68,39,35,64,70.0,73,54,66,31,63,52,66,74,51,61,67,58,64,59,70,0
21.0,29,75.0,69,29,84,73,51,72,39,35,60,64.0,65,54,64,31,61,52,66,68,51,61,67,58,62,62,70,0
17.0,29,74.0,60,72,81,78,63,56,67,60,57,57.0,73,77,73,66,75,69,65,52,65,60,59,63,73,67,62,0
19.0,31,74.0,60,68,77,79,59,57,62,60,57,57.0,73,74,72,66,73,69,65,52,65,56,59,63,71,67,61,0
20.0,32,77.0,68,68,77,83,68,60,67,64,68,68.0,73,74,72,69,76,69,71,65,65,64,63,71,74,70,65,0
21.0,33,77.0,70,62,75,83,59,63,73,67,68,68.0,76,75,74,61,80,69,71,65,63,66,58,63,74,80,59,0
17.0,31,76.0,74,64,69,82,64,64,65,63,67,50.0,57,62,48,32,60,47,55,49,39,47,50,48,50,37,56,0
17.0,23,72.0,71,67,76,71,64,65,69,70,61,67.0,65,55,59,40,61,57,35,35,46,75,37,50,41,42,72,0
18.0,24,72.0,71,67,76,71,61,66,67,62,59,67.0,65,55,59,40,61,54,35,35,46,75,37,50,41,42,73,1
19.0,25,75.0,71,67,86,71,64,66,64,68,59,67.0,66,55,56,40,58,58,35,35,46,78,37,50,41,42,72,1
20.0,26,75.0,71,67,86,71,64,66,66,68,59,68.0,68,55,59,50,58,58,35,35,55,79,37,50,45,51,71,0
21.0,27,74.0,71,69,86,70,67,65,70,69,61,69.0,70,60,60,50,61,62,35,35,58,80,37,50,54,51,71,0
17.0,22,46.0,44,32,55,42,28,43,26,24,43,56.0,57,66,68,62,62,62,68,51,67,77,57,67,48,60,82,1
18.0,23,49.0,44,32,71,42,28,37,26,24,43,82.0,61,73,75,67,75,62,68,65,75,77,65,74,72,60,88,0
19.0,24,47.0,44,32,62,42,46,37,26,24,43,82.0,66,73,75,67,75,67,68,67,75,80,65,74,75,60,90,0
17.0,23,71.0,71,67,85,65,69,70,73,73,57,69.0,75,67,75,40,77,73,77,43,67,70,51,71,59,48,78,0
18.0,25,71.0,71,67,83,65,69,70,72,72,57,69.0,73,67,75,40,76,73,77,43,67,69,51,71,59,48,77,0
17.0,22,65.0,56,65,69,67,62,54,65,40,46,68.0,59,73,73,73,73,71,69,61,69,67,57,60,72,63,74,1
18.0,23,71.0,70,72,75,71,68,54,74,68,46,68.0,59,73,73,73,73,71,69,61,69,67,57,60,72,63,74,0
19.0,24,71.0,70,72,75,71,73,54,74,68,46,68.0,59,73,73,73,73,71,69,61,69,67,57,60,72,63,74,0
20.0,25,71.0,67,72,76,71,72,54,70,67,46,68.0,68,77,73,73,76,71,69,62,69,67,58,63,74,64,74,0
21.0,26,66.0,65,72,73,65,70,53,70,67,46,68.0,68,73,73,69,72,71,67,59,69,64,57,62,73,63,71,0
17.0,21,76.0,79,57,71,77,65,75,70,64,63,55.0,58,45,45,21,55,36,36,23,23,60,23,26,36,45,61,0
18.0,22,69.0,58,57,71,72,62,73,64,62,63,55.0,58,51,45,21,51,36,36,23,23,62,23,26,36,45,61,0
19.0,23,71.0,58,57,74,74,60,72,64,62,62,52.0,54,51,45,21,51,36,36,23,23,59,23,26,36,45,65,0
20.0,24,70.0,58,57,74,73,59,73,64,62,62,53.0,53,52,46,21,51,36,35,23,27,59,23,26,40,35,65,0
21.0,25,72.0,58,60,74,77,61,73,64,62,62,56.0,53,52,46,21,51,36,35,23,27,59,23,26,40,35,65,0
19.0,29,77.0,78,76,82,74,68,72,77,72,56,72.0,67,68,68,37,74,51,74,65,42,77,31,73,66,48,59,0
21.0,31,74.0,78,70,80,70,68,72,74,72,69,72.0,71,72,70,37,74,51,74,62,42,77,31,71,66,48,59,0
17.0,22,76.0,70,71,69,83,78,67,80,77,79,67.0,73,69,46,32,59,51,49,23,48,50,26,28,63,41,54,0
18.0,23,77.0,70,76,69,84,78,67,83,77,79,69.0,77,70,46,32,59,51,49,23,48,49,26,28,65,41,53,0
19.0,24,76.0,70,75,69,83,76,67,81,77,77,69.0,76,70,58,32,63,51,49,23,55,49,26,60,65,41,53,0
20.0,25,79.0,78,73,68,87,72,60,77,76,75,67.0,74,68,58,32,63,47,49,23,55,48,26,56,58,41,51,0
21.0,26,79.0,78,73,68,87,72,60,76,76,75,68.0,74,65,58,32,63,47,49,23,55,48,26,56,62,41,51,0
17.0,23,59.0,43,23,64,63,24,55,22,23,52,45.0,54,47,59,30,55,55,54,57,48,63,49,48,55,58,75,0
18.0,24,57.0,43,23,66,58,24,55,22,23,48,48.0,54,47,59,30,55,55,51,57,58,67,49,45,52,58,79,0
19.0,25,74.0,73,46,76,75,49,65,57,52,55,69.0,53,67,64,56,63,52,61,55,61,68,45,64,63,47,73,0
20.0,26,76.0,73,46,82,75,49,65,57,52,55,69.0,53,67,65,56,66,62,61,58,61,68,51,66,63,69,73,0
21.0,27,76.0,73,46,82,75,49,65,57,52,55,69.0,53,67,65,56,66,62,61,58,61,68,51,66,63,69,73,0
17.0,22,82.0,82,70,77,87,66,59,70,65,61,52.0,62,60,44,42,57,41,71,37,37,68,33,52,57,54,55,0
18.0,23,82.0,84,70,73,87,64,61,65,60,66,56.0,60,61,61,42,63,41,70,37,37,71,33,52,59,54,52,0
19.0,24,83.0,84,70,72,89,71,71,68,64,66,62.0,67,61,61,42,64,41,70,37,37,71,33,52,63,54,51,0
19.0,25,69.0,65,62,72,69,64,66,63,65,59,46.0,59,56,57,31,64,67,54,34,58,54,23,39,42,48,68,1
20.0,26,70.0,65,63,73,70,65,68,65,66,60,47.0,61,56,57,31,64,67,54,34,58,58,23,39,42,48,68,1
21.0,27,70.0,65,65,74,71,67,69,65,66,61,50.0,64,58,58,31,64,67,57,34,59,59,30,39,45,48,70,1
17.0,25,77.0,89,76,78,71,78,77,75,77,80,58.0,71,60,44,43,61,68,62,49,46,66,44,47,35,48,65,0
18.0,26,76.0,89,78,77,70,78,77,77,78,80,70.0,71,60,44,43,66,68,62,49,46,66,44,47,35,48,65,0
19.0,27,75.0,83,74,76,72,71,76,74,75,76,67.0,69,60,44,43,66,68,62,49,46,67,44,47,35,48,65,0
20.0,28,72.0,82,72,67,71,74,75,73,68,71,67.0,69,60,55,43,66,68,62,49,46,65,44,47,35,48,63,0
21.0,29,72.0,82,72,66,71,74,74,73,68,71,67.0,69,60,55,43,66,68,62,49,46,64,44,47,35,48,62,0
17.0,25,71.0,68,61,79,67,52,75,57,54,54,69.0,75,68,80,61,81,80,80,74,74,74,68,71,81,64,76,0
18.0,26,67.0,65,61,66,67,52,75,57,54,54,69.0,75,68,80,61,81,80,80,74,74,74,68,71,79,64,76,0
19.0,27,66.0,62,61,65,67,44,75,55,52,54,66.0,78,68,80,61,76,80,81,78,74,74,68,84,74,64,77,0
20.0,28,67.0,62,62,71,67,47,75,58,55,58,70.0,78,79,79,61,78,86,81,78,76,72,69,84,78,64,73,0
21.0,29,67.0,62,62,69,67,47,75,58,55,58,70.0,78,77,74,61,77,84,81,72,76,71,69,84,76,64,74,0
17.0,22,67.0,66,70,70,65,67,67,75,77,52,61.0,67,66,74,39,72,73,68,52,73,80,47,65,63,49,75,0
17.0,23,62.0,62,53,72,56,45,66,56,62,43,51.0,67,63,60,38,67,50,53,32,39,66,33,39,70,44,57,0
19.0,25,61.0,62,53,70,56,50,53,56,61,43,51.0,62,62,60,38,66,50,53,32,39,66,33,39,70,44,57,0
17.0,25,57.0,65,60,51,56,44,59,62,55,48,45.0,57,60,55,33,59,43,50,41,35,72,36,36,62,47,63,0
20.0,28,61.0,52,41,67,62,22,58,45,31,65,62.0,57,62,68,64,72,74,56,60,71,66,58,61,70,69,80,1
21.0,29,68.0,61,41,85,62,22,61,45,31,65,64.0,65,65,70,64,73,75,61,63,73,72,58,63,71,61,82,1
17.0,22,64.0,38,15,66,73,18,76,20,13,62,59.0,60,35,52,30,61,44,56,62,42,59,58,50,55,62,65,0
18.0,23,69.0,48,15,68,76,18,79,23,14,63,59.0,60,36,52,30,62,44,56,62,42,63,58,50,58,61,68,0
19.0,24,71.0,55,17,72,76,21,79,23,14,63,59.0,63,40,57,30,63,44,64,63,42,64,58,50,58,62,69,0
20.0,25,70.0,62,17,66,75,21,77,23,14,63,62.0,63,40,58,30,63,44,64,65,42,64,58,50,57,63,69,0
21.0,26,73.0,62,17,75,75,26,80,41,43,63,62.0,63,45,58,45,61,48,64,65,42,64,58,52,57,63,69,0
17.0,23,70.0,69,67,79,65,67,72,69,70,60,65.0,66,64,65,52,64,69,65,39,56,67,37,54,63,49,73,0
18.0,24,70.0,69,68,80,65,69,73,70,71,61,66.0,68,64,69,57,67,71,65,39,65,67,37,56,64,49,73,0
19.0,25,70.0,69,68,80,65,67,75,70,71,61,66.0,68,64,69,57,67,71,65,39,65,67,37,56,64,49,73,0
20.0,26,68.0,69,68,73,65,66,75,67,68,61,66.0,62,64,69,57,67,70,65,39,65,67,37,56,64,49,73,0
21.0,27,68.0,69,68,73,65,66,75,67,68,61,66.0,63,64,69,57,67,70,65,39,65,67,37,56,64,49,73,0
19.0,26,62.0,62,62,68,59,56,66,61,59,59,50.0,68,47,55,25,59,61,46,35,31,75,28,43,50,39,66,0
18.0,27,70.0,64,68,72,71,71,64,71,69,49,55.0,59,35,54,42,48,44,35,38,35,58,36,34,42,50,69,0
19.0,28,69.0,64,63,68,71,58,66,68,66,49,55.0,59,35,54,42,56,41,35,38,35,59,36,34,48,50,69,0
20.0,29,72.0,64,63,72,76,61,70,68,66,49,55.0,59,35,54,42,58,55,35,38,35,59,36,34,52,50,72,0
17.0,25,81.0,85,69,89,76,75,65,71,68,69,70.0,71,75,63,65,72,59,75,54,62,60,42,72,67,60,60,1
18.0,26,81.0,85,76,89,77,75,64,73,68,74,73.0,74,75,63,75,72,59,75,54,64,58,42,72,69,62,60,1
19.0,27,83.0,88,79,86,82,78,62,76,72,75,73.0,77,76,64,78,74,66,75,54,64,58,42,72,73,89,58,0
20.0,28,84.0,88,80,90,82,78,62,78,73,75,76.0,78,79,62,81,76,66,84,55,71,63,50,77,73,91,62,0
17.0,24,72.0,85,71,74,67,62,64,74,62,53,75.0,74,78,72,55,79,68,79,60,71,88,56,80,75,54,78,0
18.0,25,73.0,82,71,74,69,62,63,74,64,53,75.0,73,76,72,55,75,65,78,60,71,90,56,78,73,54,78,0
19.0,26,74.0,85,68,77,70,65,63,70,64,53,69.0,78,73,71,55,73,71,77,60,71,85,56,76,72,54,73,0
20.0,27,74.0,85,69,76,69,65,63,70,64,53,69.0,76,74,71,55,73,63,77,60,71,85,56,76,71,54,72,0
21.0,28,73.0,85,69,75,69,65,64,70,64,53,69.0,76,74,71,55,73,63,77,60,71,84,56,76,72,54,70,0
17.0,22,71.0,72,65,78,69,50,59,70,68,53,49.0,63,65,62,50,67,55,73,45,50,68,32,69,69,58,72,0
18.0,23,72.0,72,65,80,70,50,60,70,68,53,58.0,63,65,62,50,67,55,73,45,50,69,32,69,69,58,74,0
17.0,24,70.0,74,70,74,67,69,65,72,63,57,45.0,65,68,56,53,68,51,59,33,46,54,37,50,61,55,71,0
18.0,25,72.0,74,70,78,69,69,67,72,63,57,65.0,65,68,56,53,68,51,59,33,46,54,37,50,61,55,72,1
19.0,26,74.0,70,68,81,73,61,72,66,61,57,65.0,65,65,56,53,68,51,59,38,46,54,37,50,61,55,67,1
20.0,27,74.0,70,68,81,73,61,74,66,62,57,65.0,67,65,56,53,68,51,59,50,46,57,41,58,61,55,70,1
21.0,28,76.0,70,68,84,73,61,80,67,63,64,67.0,67,66,61,53,69,55,62,67,47,57,42,61,62,56,71,0
17.0,24,72.0,70,72,75,73,70,60,75,72,70,83.0,62,70,67,48,68,50,74,35,43,51,40,60,66,46,48,0
18.0,25,73.0,70,69,74,75,68,62,71,67,68,76.0,61,69,67,48,68,50,72,35,43,51,40,64,63,46,51,0
19.0,26,75.0,70,69,76,77,71,62,73,69,68,76.0,66,69,67,48,69,50,72,35,43,50,40,64,63,46,50,0
17.0,24,60.0,53,52,59,64,51,47,53,48,50,58.0,55,59,57,55,61,52,61,50,54,55,21,56,55,44,41,0
18.0,25,60.0,53,52,56,66,51,47,55,53,50,58.0,55,62,60,55,65,52,61,50,54,54,21,56,55,50,47,0
17.0,28,75.0,81,64,75,74,62,66,63,57,56,62.0,70,59,61,44,62,60,62,54,62,70,31,62,55,45,64,0
18.0,29,75.0,81,64,75,74,62,66,63,57,56,62.0,70,59,61,44,62,60,62,54,62,69,31,62,55,45,64,0
17.0,32,67.0,86,75,77,54,74,77,77,79,58,57.0,75,70,76,55,76,77,68,54,67,82,52,61,68,64,77,0
18.0,33,66.0,78,74,78,54,72,77,78,76,55,66.0,75,69,77,55,73,77,68,54,67,85,52,61,68,64,77,0
17.0,25,74.0,73,22,56,83,20,76,29,22,79,62.0,64,35,51,38,58,32,76,69,43,55,70,65,41,58,55,0
18.0,26,72.0,73,25,48,83,20,76,29,22,79,62.0,64,35,54,38,61,32,76,69,43,55,70,65,41,58,54,0
19.0,27,72.0,73,25,48,83,23,76,29,22,78,60.0,64,35,54,38,62,32,76,67,43,55,70,63,41,58,54,0
20.0,28,72.0,78,22,45,83,23,74,23,22,73,58.0,57,33,52,34,59,30,73,65,42,55,69,62,41,56,54,1
21.0,29,76.0,78,22,57,84,23,74,23,22,73,58.0,60,33,56,34,62,30,78,69,42,55,74,65,41,56,54,1
19.0,28,78.0,92,78,80,73,69,59,75,74,56,75.0,75,80,76,43,77,68,80,72,41,77,35,81,82,51,67,0
20.0,29,77.0,92,78,78,73,69,59,73,69,56,75.0,75,76,69,43,72,68,80,72,41,77,35,81,82,51,67,0
17.0,26,80.0,84,82,82,78,80,71,79,79,69,75.0,76,74,64,45,78,61,75,53,53,73,56,70,64,52,60,0
19.0,28,81.0,88,82,82,78,79,71,79,77,69,81.0,78,77,64,45,78,63,75,53,60,73,56,70,69,52,60,0
20.0,29,80.0,88,82,82,76,79,71,79,77,69,81.0,78,77,64,45,78,63,75,53,60,73,56,70,69,52,63,0
21.0,30,79.0,84,82,82,76,79,71,79,77,74,81.0,78,76,64,45,73,63,75,53,60,73,56,70,67,52,63,0
17.0,25,79.0,73,73,77,83,75,64,76,74,73,77.0,72,64,42,29,53,37,65,38,28,59,24,42,36,37,42,0
18.0,26,79.0,73,73,77,83,75,64,76,74,77,77.0,72,64,42,29,53,37,65,38,28,59,24,42,36,37,42,0
19.0,27,79.0,73,73,77,83,75,64,76,74,77,77.0,72,64,42,29,53,37,65,38,28,59,24,42,36,37,42,0
20.0,28,79.0,73,73,77,83,75,64,76,74,77,77.0,72,64,42,29,53,37,65,38,28,59,24,42,36,37,57,0
21.0,29,78.0,75,73,77,80,72,72,77,74,77,69.0,72,61,42,29,53,37,65,38,28,70,24,42,36,37,57,0
17.0,25,68.0,61,74,70,68,78,76,72,77,56,53.0,76,57,68,29,70,68,66,34,26,66,28,60,59,36,76,1
17.0,22,60.0,34,21,59,69,15,70,16,21,62,56.0,56,36,55,30,63,30,62,66,36,63,56,55,45,59,77,0
19.0,24,61.0,34,21,55,74,28,70,16,21,58,57.0,56,36,58,30,60,32,60,61,36,66,60,55,45,58,75,0
20.0,25,65.0,34,21,64,76,28,75,16,21,60,57.0,56,48,62,58,66,32,62,66,36,65,60,58,45,62,75,0
21.0,26,68.0,46,21,64,78,28,75,16,21,66,64.0,57,48,62,58,65,32,64,66,36,65,60,58,57,63,75,0
17.0,23,69.0,61,47,71,71,49,61,54,39,52,60.0,71,61,61,50,67,62,72,63,64,70,49,64,69,58,72,0
18.0,24,69.0,61,47,71,71,49,61,54,39,52,60.0,71,61,61,50,67,62,72,63,64,70,49,64,69,58,72,0
17.0,21,62.0,61,55,68,58,41,77,31,29,64,64.0,64,69,79,68,77,66,71,73,77,75,69,67,78,76,78,0
18.0,22,62.0,61,55,68,58,39,79,38,31,64,75.0,68,69,79,71,77,66,71,73,77,75,69,68,77,76,77,0
19.0,23,63.0,61,55,72,58,33,79,46,38,64,75.0,68,68,79,71,76,66,71,72,77,72,69,67,77,76,77,0
20.0,24,63.0,61,55,72,58,33,79,46,38,64,75.0,68,66,78,71,72,66,71,72,77,72,69,67,75,76,77,0
17.0,26,76.0,71,68,73,80,66,61,67,68,65,51.0,65,51,30,22,58,60,40,17,34,51,22,23,45,38,46,0
18.0,27,75.0,71,67,73,80,65,60,67,66,69,58.0,64,55,30,22,54,56,40,17,34,51,22,23,35,38,42,0
19.0,28,75.0,74,66,71,79,67,52,71,69,69,56.0,65,55,30,22,54,56,40,17,34,51,22,23,35,38,38,0
17.0,20,57.0,59,58,66,49,61,74,63,64,46,66.0,62,55,70,62,72,67,58,55,70,81,58,45,60,59,83,1
18.0,21,60.0,64,59,72,51,66,76,68,65,47,67.0,66,55,73,62,73,70,64,49,70,82,58,48,59,59,84,1
19.0,22,63.0,70,64,77,51,68,79,69,65,48,67.0,67,58,73,62,73,71,64,49,70,82,58,52,63,59,84,1
20.0,23,65.0,70,65,76,57,65,79,68,66,48,67.0,67,58,73,62,73,71,64,53,70,82,58,52,63,59,84,0
21.0,24,67.0,73,70,76,59,67,79,70,68,55,67.0,67,72,76,62,74,71,66,58,70,84,58,62,73,59,86,0
17.0,23,67.0,59,31,70,69,38,63,36,30,64,74.0,70,69,76,74,76,76,83,81,72,71,81,78,76,63,78,1
18.0,24,75.0,59,36,81,78,40,73,38,30,72,74.0,72,69,76,74,76,76,83,80,77,78,81,80,76,63,77,0
19.0,25,75.0,63,39,82,77,29,75,40,30,73,76.0,76,68,78,74,79,77,83,81,78,78,81,81,78,65,79,0
20.0,26,74.0,63,39,78,77,29,71,40,30,73,76.0,81,68,78,74,79,78,83,82,78,77,81,81,78,65,77,0
21.0,27,74.0,70,39,77,75,29,71,40,30,73,77.0,81,68,79,74,80,78,84,85,83,78,79,82,80,65,79,0
19.0,22,49.0,70,56,59,35,37,61,40,37,57,70.0,67,58,68,69,66,62,65,61,68,87,64,60,64,60,84,1
20.0,23,48.0,70,56,58,32,37,72,40,37,57,70.0,67,58,68,69,66,62,65,61,68,89,64,60,64,60,89,1
21.0,24,58.0,70,56,64,48,37,81,40,37,63,73.0,71,60,69,69,69,63,74,78,72,89,73,71,67,60,90,1
17.0,27,49.0,45,59,77,34,55,82,59,52,46,56.0,63,52,68,36,60,61,63,58,54,86,43,52,59,59,79,0
20.0,30,56.0,50,62,81,43,61,81,66,63,46,56.0,63,57,67,36,63,66,63,59,54,88,43,52,63,59,81,0
17.0,25,70.0,65,64,64,76,62,67,63,65,63,68.0,57,65,58,30,63,54,39,30,33,55,17,33,44,39,48,1
18.0,26,71.0,66,68,64,76,64,67,66,66,66,72.0,64,68,56,30,63,54,49,30,33,55,17,36,56,66,52,0
19.0,27,73.0,74,69,68,75,69,66,66,64,65,72.0,68,68,59,30,65,52,49,30,43,55,17,36,58,64,51,0
20.0,28,68.0,67,68,57,75,69,65,65,61,65,68.0,66,69,59,30,65,52,53,32,58,55,27,36,59,64,42,1
21.0,29,69.0,68,68,57,75,69,65,65,60,65,68.0,65,69,59,30,65,52,53,32,58,53,27,36,59,64,39,1
17.0,23,69.0,70,55,67,68,67,76,66,67,61,57.0,66,51,67,35,62,63,45,35,54,64,32,31,47,43,62,0
18.0,24,69.0,70,55,67,69,67,77,66,67,61,57.0,66,51,67,35,62,65,45,35,54,64,32,31,47,43,72,0
17.0,23,53.0,29,19,64,55,15,64,19,15,59,49.0,54,52,65,53,63,64,70,66,42,66,55,59,62,65,63,0
17.0,28,74.0,70,74,66,81,71,68,73,65,68,51.0,62,55,17,31,55,28,43,24,34,48,20,23,32,42,43,1
18.0,29,76.0,70,74,71,82,71,71,73,65,68,65.0,62,55,17,31,55,28,43,24,34,48,20,23,32,42,43,1
19.0,30,75.0,70,74,66,82,71,77,73,65,70,65.0,63,55,17,31,55,28,43,24,34,48,20,23,32,42,39,1
20.0,31,78.0,73,76,74,82,76,77,77,75,76,72.0,73,71,65,31,69,28,43,24,57,48,24,23,42,42,39,0
21.0,32,82.0,81,77,79,83,78,82,80,76,76,73.0,74,71,68,31,71,28,58,25,57,45,24,23,45,42,35,0
17.0,25,69.0,69,63,81,64,55,67,59,58,59,68.0,68,65,70,57,71,66,70,57,60,79,59,60,61,55,76,1
18.0,26,70.0,69,71,82,64,69,67,70,65,64,68.0,70,70,71,57,71,72,70,57,60,79,59,60,69,55,76,0
20.0,28,70.0,69,66,80,65,65,67,67,62,64,68.0,70,72,72,57,75,72,72,61,59,79,59,64,76,55,78,0
17.0,22,67.0,66,70,76,64,60,52,70,65,54,68.0,77,77,78,59,80,63,86,77,73,70,80,85,78,59,75,0
18.0,23,69.0,66,75,77,67,60,52,71,66,54,73.0,78,78,78,59,79,63,87,77,73,69,85,87,76,59,73,1
19.0,24,69.0,66,75,77,67,75,52,71,66,54,76.0,78,78,78,75,79,63,87,77,77,67,85,87,74,57,71,1
20.0,25,69.0,66,75,77,67,75,52,69,66,54,77.0,80,80,78,75,80,69,87,77,77,66,84,87,75,57,66,1
21.0,26,73.0,74,77,78,71,76,60,74,67,58,79.0,81,83,78,80,80,69,87,77,83,66,84,87,78,57,67,0
17.0,21,62.0,54,58,72,60,66,54,63,56,60,76.0,75,73,76,48,76,61,54,61,51,78,46,56,78,60,73,1
18.0,22,65.0,67,62,74,61,67,54,68,67,58,78.0,75,73,77,48,78,64,58,61,56,78,46,56,79,60,73,1
19.0,23,64.0,68,64,73,59,64,51,72,69,58,78.0,75,73,78,60,80,67,58,63,56,75,46,56,84,66,71,0
20.0,24,64.0,70,65,76,58,69,49,72,69,58,79.0,78,76,78,60,80,76,60,68,62,73,50,62,83,66,71,0
21.0,25,64.0,70,65,76,58,69,49,72,69,58,79.0,78,76,78,62,79,76,60,68,67,73,50,62,81,66,71,0
17.0,20,50.0,43,37,68,46,27,34,30,30,36,75.0,56,65,78,59,76,66,53,58,70,80,59,48,73,58,78,1
18.0,21,52.0,43,37,68,50,27,34,30,30,36,75.0,59,66,78,62,76,68,60,59,71,80,60,63,72,58,79,1
19.0,22,55.0,48,38,70,52,38,34,35,34,36,75.0,65,71,80,65,81,69,62,60,71,82,66,69,77,58,84,1
20.0,23,59.0,48,43,69,61,43,34,41,39,36,77.0,68,71,80,65,81,69,67,62,72,82,72,72,78,58,85,1
21.0,24,61.0,48,44,76,61,48,37,49,43,36,82.0,79,77,85,74,82,78,75,73,76,82,72,77,83,58,85,1
17.0,21,55.0,44,25,60,57,22,52,21,18,49,53.0,59,42,71,55,66,63,63,65,37,65,57,55,56,61,79,1
18.0,22,59.0,44,25,62,65,22,53,21,18,55,62.0,64,43,73,55,67,65,65,67,55,65,57,57,63,61,83,1
19.0,23,59.0,44,25,62,65,47,47,21,21,60,62.0,64,43,73,55,69,67,65,69,55,65,57,57,66,61,83,1
20.0,24,60.0,46,25,65,65,47,47,21,21,63,68.0,71,52,74,55,73,69,70,76,57,68,59,68,73,61,82,0
21.0,25,60.0,46,25,65,65,47,47,21,21,63,68.0,71,52,74,55,73,69,70,76,57,68,59,68,73,61,82,0
17.0,24,76.0,60,67,84,79,57,73,62,60,59,55.0,66,55,43,55,47,34,52,22,51,59,41,45,51,32,73,0
18.0,25,74.0,60,65,79,77,59,73,64,62,59,55.0,63,55,43,55,47,34,52,22,51,59,41,45,51,32,73,0
19.0,26,74.0,60,65,79,77,59,75,64,63,59,55.0,60,55,43,55,47,34,52,22,51,59,41,45,51,32,73,0
17.0,23,61.0,30,32,57,76,22,58,24,22,63,56.0,57,45,62,43,63,46,67,57,53,33,54,55,63,57,62,0
21.0,27,70.0,69,32,55,80,12,58,24,22,63,60.0,57,45,60,43,63,46,67,60,53,33,54,55,60,57,62,0
17.0,22,59.0,54,13,70,56,17,60,15,11,52,55.0,56,42,56,22,53,50,62,59,48,74,52,56,48,55,74,0
17.0,21,68.0,51,60,62,77,64,83,63,59,65,52.0,55,51,53,29,62,47,47,15,49,70,25,22,32,26,71,0
18.0,22,72.0,64,62,67,77,66,82,64,61,65,58.0,55,44,49,29,62,42,47,15,49,70,25,22,32,26,74,0
19.0,23,71.0,62,62,68,75,62,81,64,60,65,58.0,55,44,49,29,59,42,47,15,49,70,25,22,32,26,75,0
17.0,22,69.0,49,14,65,79,12,71,19,17,66,66.0,57,43,67,37,62,36,69,66,49,80,47,59,50,64,70,1
18.0,23,69.0,49,14,66,79,12,72,19,17,66,66.0,57,43,67,37,62,36,69,66,49,81,47,59,50,64,70,1
19.0,24,69.0,49,14,69,77,31,75,19,17,66,66.0,57,43,69,37,62,36,69,66,49,81,47,59,50,64,70,0
17.0,21,73.0,75,65,69,73,61,80,66,62,57,58.0,65,43,47,26,58,43,53,19,37,69,30,44,39,40,60,0
18.0,22,74.0,75,64,70,75,61,73,66,62,58,58.0,65,48,47,26,58,43,53,19,37,69,30,44,39,40,64,0
19.0,23,74.0,75,64,70,76,60,73,66,63,59,59.0,65,52,47,26,58,43,53,19,37,69,30,44,39,40,63,0
17.0,22,62.0,56,54,67,63,26,60,23,18,68,67.0,66,58,70,38,74,58,67,74,67,53,56,62,56,69,70,0
18.0,23,63.0,56,54,67,64,26,60,23,18,67,67.0,66,58,69,38,73,58,67,73,67,53,56,62,56,69,70,1
19.0,24,66.0,56,54,73,66,28,62,23,18,67,69.0,67,60,70,59,74,58,68,72,67,62,58,62,62,69,70,1
20.0,25,68.0,56,54,75,70,28,63,23,18,69,72.0,68,60,71,59,74,58,71,72,67,62,60,62,62,69,70,1
21.0,26,71.0,60,46,81,72,31,64,23,18,67,70.0,69,60,68,59,74,58,72,70,66,63,64,62,64,71,69,1
17.0,21,68.0,60,61,70,69,63,70,64,61,63,60.0,54,64,58,46,65,58,57,51,48,50,44,51,63,52,58,0
18.0,22,68.0,60,61,70,70,63,70,64,61,63,60.0,54,64,58,46,65,58,57,51,48,50,44,51,63,52,58,0
19.0,23,74.0,63,61,77,77,62,76,62,58,64,60.0,60,56,51,41,58,52,57,48,43,63,41,48,53,52,60,0
20.0,24,73.0,63,60,75,77,61,71,62,58,65,59.0,60,62,51,41,58,52,57,48,43,63,41,48,57,52,56,0
21.0,25,75.0,63,58,75,81,61,68,62,58,63,59.0,58,61,51,41,54,52,57,48,43,63,41,48,57,52,56,0
